id,keyword,location,text,target,Cleaned_Tweet,Latitude,Longitude
105,accident,Australia,BigRigRadio Live Accident Awareness,1,bigrigradio live accident awareness,-24.7761086,134.755
623,arsonist,"Adelaide, South Australia",Arsonists being blamed for a blaze at a plastics recycling business in Adelaide | @pcaldicott7 reports. #7NewsAdl http://t.co/r1Xwdnvb0g,0,arsonists blamed blaze plastics recycling business adelaide reports newsadl,-34.9281805,138.5999312
826,battle,Australia,"#LonePine remembered around Australia as 'descendants' grow via @666canberra #Gallipoli #WW1
http://t.co/T4fvVnRPc5 http://t.co/0zZnbVFUVO",0,lonepine remembered around australia descendants grow via gallipoli ww,,
945,blaze,Australia,Property losses from California wildfire nearly double as week-old blaze rages http://t.co/E0UUsnpsq5,1,property losses california wildfire nearly double weekold blaze rages,,
1303,bloody,"Adelaide, South Australia",@MrTophyPup it's bloody sexy *drools*,0,bloody sexy drools,,
1545,bomb,Australia,New Documents Found Pointing To Japan's WWII Atomic Bomb Program http://t.co/IucPcSfbMT,1,new documents found pointing japans wwii atomic bomb program,,
1636,bombing,"Sydney, Australia",Today marks the 70th anniversary of the bombing of Hiroshima a city I visited and was humbled by in November 2013 http://t.co/AcC1z5Q9Zw,1,today marks th anniversary bombing hiroshima city visited humbled november,-33.8698439,151.2082848
1723,buildings%20burning,"Mackay, QLD, Australia",Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh ooh...,1,mmmmmm im burning im burning buildings im building oooooohhhh oooh ooh,-21.141956,149.1865149
1799,buildings%20on%20fire,Brisbane Australia,Fire hazard associated with installation of non-compliant external cladding on high-rise buildings - Insurance - Aust http://t.co/wFsEaOBATo,0,fire hazard associated installation noncompliant external cladding highrise buildings insurance aust,-27.4689682,153.0234991
1914,burning,Australian Capital Territory,#?x?: :and to counter acts such as the burning of the Alexandrian library.,1,x counter acts burning alexandrian library,-35.4883502,149.0026942
1922,burning%20buildings,"Mackay, QLD, Australia",Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh ooh...,0,mmmmmm im burning im burning buildings im building oooooohhhh oooh ooh,-21.141956,149.1865149
1985,bush%20fires,Melbourne Australia,The Public Health Team was traumatised after the bush fires. Could #AppreciativeInquiry turn this around? http://t.co/soEa1GgbKj,1,public health team traumatised bush fires could appreciativeinquiry turn around,-37.8142454,144.9631732
1989,bush%20fires,"Canberra, Australian Capital Territory",Californian Bush Fires 2015 http://t.co/rjdX29wosp,1,californian bush fires,-35.2975906,149.1012676
2000,bush%20fires,"Sydney, Australia",SMH photographer Wolter Peeters was on the front line with NSW Rural Fire Service crews laÛ_ http://t.co/gXe7nHwZ3e http://t.co/sRbqlMuwbV,1,smh photographer wolter peeters front line nsw rural fire service crews la,-33.8698439,151.2082848
2251,chemical%20emergency,"Orbost, Victoria, Australia","Lindenow: 3:15pm
Emergency crews are at a chemical spill in the main street near Church Street",1,lindenow pmemergency crews chemical spill main street near church street,-37.7037061,148.4554712
