id,keyword,location,text,target,Cleaned_Tweet,Latitude,Longitude,Sentiment,Sentiment_Score,Topic,Entities
105,accident,Australia,BigRigRadio Live Accident Awareness,1,bigrigradio live accident awareness,-24.7761086,134.755,NEGATIVE,0.5198942422866821,"[(0, 0.040011737), (1, 0.0400119), (2, 0.04001191), (3, 0.04000833), (4, 0.83995616)]",[]
623,arsonist,"Adelaide, South Australia",Arsonists being blamed for a blaze at a plastics recycling business in Adelaide | @pcaldicott7 reports. #7NewsAdl http://t.co/r1Xwdnvb0g,0,arsonists blamed blaze plastics recycling business adelaide reports newsadl,-34.9281805,138.5999312,NEGATIVE,0.988137423992157,"[(0, 0.919925), (1, 0.020064833), (2, 0.020004166), (3, 0.020002926), (4, 0.020003142)]",[]
826,battle,Australia,"#LonePine remembered around Australia as 'descendants' grow via @666canberra #Gallipoli #WW1
http://t.co/T4fvVnRPc5 http://t.co/0zZnbVFUVO",0,lonepine remembered around australia descendants grow via gallipoli ww,,,POSITIVE,0.9949095845222473,"[(0, 0.9197244), (1, 0.02014542), (2, 0.020004168), (3, 0.02008084), (4, 0.020045212)]","[('lonepine', 'PERSON'), ('australia', 'GPE')]"
945,blaze,Australia,Property losses from California wildfire nearly double as week-old blaze rages http://t.co/E0UUsnpsq5,1,property losses california wildfire nearly double weekold blaze rages,,,NEGATIVE,0.9921626448631287,"[(0, 0.020063326), (1, 0.91988444), (2, 0.020004103), (3, 0.020002881), (4, 0.020045184)]","[('california', 'GPE')]"
1303,bloody,"Adelaide, South Australia",@MrTophyPup it's bloody sexy *drools*,0,bloody sexy drools,,,POSITIVE,0.9995235204696655,"[(0, 0.050708674), (1, 0.0500152), (2, 0.0500152), (3, 0.050010625), (4, 0.7992503)]",[]
1545,bomb,Australia,New Documents Found Pointing To Japan's WWII Atomic Bomb Program http://t.co/IucPcSfbMT,1,new documents found pointing japans wwii atomic bomb program,,,NEGATIVE,0.8541713356971741,"[(0, 0.020005021), (1, 0.020005094), (2, 0.02000509), (3, 0.91995335), (4, 0.020031473)]","[('wwii', 'EVENT')]"
1636,bombing,"Sydney, Australia",Today marks the 70th anniversary of the bombing of Hiroshima a city I visited and was humbled by in November 2013 http://t.co/AcC1z5Q9Zw,1,today marks th anniversary bombing hiroshima city visited humbled november,-33.8698439,151.2082848,POSITIVE,0.9883989095687866,"[(0, 0.01820554), (1, 0.9271236), (2, 0.018185325), (3, 0.01830103), (4, 0.018184463)]","[('hiroshima', 'GPE'), ('november', 'DATE')]"
1723,buildings%20burning,"Mackay, QLD, Australia",Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh ooh...,1,mmmmmm im burning im burning buildings im building oooooohhhh oooh ooh,-21.141956,149.1865149,NEGATIVE,0.9951262474060059,"[(0, 0.016668018), (1, 0.01666811), (2, 0.016706148), (3, 0.01666763), (4, 0.9332901)]","[('mmmmmm', 'ORG')]"
1799,buildings%20on%20fire,Brisbane Australia,Fire hazard associated with installation of non-compliant external cladding on high-rise buildings - Insurance - Aust http://t.co/wFsEaOBATo,0,fire hazard associated installation noncompliant external cladding highrise buildings insurance aust,-27.4689682,153.0234991,NEGATIVE,0.9934218525886536,"[(0, 0.016669624), (1, 0.016680483), (2, 0.9332062), (3, 0.016668774), (4, 0.016774876)]",[]
1914,burning,Australian Capital Territory,#?x?: :and to counter acts such as the burning of the Alexandrian library.,1,x counter acts burning alexandrian library,-35.4883502,149.0026942,NEGATIVE,0.9914184808731079,"[(0, 0.028578486), (1, 0.028578606), (2, 0.028578587), (3, 0.028576445), (4, 0.8856879)]",[]
1922,burning%20buildings,"Mackay, QLD, Australia",Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh ooh...,0,mmmmmm im burning im burning buildings im building oooooohhhh oooh ooh,-21.141956,149.1865149,NEGATIVE,0.9951262474060059,"[(0, 0.016668016), (1, 0.01666811), (2, 0.01670569), (3, 0.016667629), (4, 0.9332906)]","[('mmmmmm', 'ORG')]"
1985,bush%20fires,Melbourne Australia,The Public Health Team was traumatised after the bush fires. Could #AppreciativeInquiry turn this around? http://t.co/soEa1GgbKj,1,public health team traumatised bush fires could appreciativeinquiry turn around,-37.8142454,144.9631732,NEGATIVE,0.9777156710624695,"[(0, 0.018259834), (1, 0.018187506), (2, 0.018338384), (3, 0.9270282), (4, 0.018186111)]","[('bush', 'PERSON')]"
1989,bush%20fires,"Canberra, Australian Capital Territory",Californian Bush Fires 2015 http://t.co/rjdX29wosp,1,californian bush fires,-35.2975906,149.1012676,NEGATIVE,0.982413649559021,"[(0, 0.050010692), (1, 0.05001084), (2, 0.7993008), (3, 0.05066953), (4, 0.05000815)]","[('bush', 'PERSON')]"
2000,bush%20fires,"Sydney, Australia",SMH photographer Wolter Peeters was on the front line with NSW Rural Fire Service crews laÛ_ http://t.co/gXe7nHwZ3e http://t.co/sRbqlMuwbV,1,smh photographer wolter peeters front line nsw rural fire service crews la,-33.8698439,151.2082848,NEGATIVE,0.9900520443916321,"[(0, 0.015387707), (1, 0.9383003), (2, 0.015516512), (3, 0.015408514), (4, 0.015386983)]",[]
2251,chemical%20emergency,"Orbost, Victoria, Australia","Lindenow: 3:15pm
Emergency crews are at a chemical spill in the main street near Church Street",1,lindenow pmemergency crews chemical spill main street near church street,-37.7037061,148.4554712,NEGATIVE,0.9972512125968933,"[(0, 0.01825925), (1, 0.018346202), (2, 0.018186864), (3, 0.92702204), (4, 0.018185625)]",[]
2289,cliff%20fall,Sydney Australia,News Update Huge cliff landslide on road in China - Watch the moment a cliff collapses as huge chunks of rock fall... http://t.co/gaBd0cjmAG,1,news update huge cliff landslide road china watch moment cliff collapses huge chunks rock fall,,,NEGATIVE,0.9988242983818054,"[(0, 0.012523284), (1, 0.9499563), (2, 0.012502057), (3, 0.0125014465), (4, 0.012516879)]","[('china', 'GPE')]"
